Ac,1.027031535997055
Ag,1.1429276457097026
Al,1.0951942923536973
As,1.1628875892968624
Au,1.3360213526574924
B,1.1329409443712248
Ba,1.0855810208285819
Be,1.065015608864634
Bi,1.1506567738157485
Br,1.158821511480096
C,1.242063116301621
Ca,1.0992435140695955
Cd,1.170597852776619
Ce,1.0571068006496163
Cl,1.122848312140824
Co,1.3030022561561094
Cr,1.1973864514108437
Cs,1.1145805111883353
Cu,1.201181178903828
Dy,1.0915274338666718
Er,1.1022986463152817
Eu,1.0750691129205774
F,1.1594193587239325
Fe,1.1308256072945961
Ga,1.1142424959286201
Gd,1.09828628412001
Ge,1.123556656871156
H,1.1306115027779962
He,1.007988258446064
Hf,1.1016413551988098
Hg,1.221930900288221
Ho,1.1119898954383396
I,1.2124037339620763
In,1.0938108971205431
Ir,1.0569236160609923
K,1.1338981105385741
Kr,1.0491154262820213
La,1.088751574931167
Li,1.2265820871069124
Lu,1.115256453277212
Mg,1.120152934159622
Mn,1.270842887328906
Mo,1.3487830398834806
N,1.192281123649086
Na,1.1330484660463804
Nb,1.1227498193193395
Nd,1.0992034937574888
Ni,1.207326999209974
Np,1.0464117600824625
O,1.1602487555911385
Os,1.1219610249706462
P,1.171490574641882
Pa,1.0224278917207048
Pb,1.1208920160543205
Pd,1.3373749457430484
Pm,1.0491298379377203
Pr,1.092350016935843
Pt,1.1353011602065755
Pu,1.035595550596944
Rb,1.1105962741477418
Re,1.1761289047509402
Rh,1.0856474007063888
Ru,1.1102964981516903
S,1.2410745211903582
Sb,1.1386365461686196
Sc,1.0638933582584105
Se,1.2963531353816755
Si,1.0907060516327647
Sm,1.1097896097179831
Sn,1.1232695972384552
Sr,1.0896872362048533
Ta,1.123353139939149
Tb,1.101178924283144
Tc,1.2138994314660039
Te,1.2397208446096326
Th,1.1373276054534245
Ti,1.145072281763997
Tl,1.0883389133458887
Tm,1.105897675637803
U,1.1272163272342381
V,1.2515574945135017
W,1.2987513538000848
Xe,1.1385466487540052
Y,1.0765818838630292
Zn,1.098570221945073
Zr,1.1048334734194105
