Ac,21
Ag,549
Al,711
As,559
Au,128
B,676
Ba,1568
Be,140
Bi,802
Br,780
C,535
Ca,1028
Cd,442
Ce,136
Cl,1502
Co,663
Cr,779
Cs,1287
Cu,682
Dy,363
Er,347
Eu,50
F,2446
Fe,1356
Ga,473
Gd,352
Ge,565
H,1442
He,4
Hf,227
Hg,248
Ho,334
I,792
In,536
Ir,40
K,1685
Kr,5
La,718
Li,2854
Lu,284
Mg,855
Mn,1406
Mo,679
N,782
Na,1664
Nb,670
Nd,477
Ni,474
Np,16
O,11990
Os,42
P,2237
Pa,50
Pb,618
Pd,105
Pm,16
Pr,377
Pt,108
Pu,3
Rb,1148
Re,104
Rh,71
Ru,44
S,2138
Sb,795
Sc,312
Se,1257
Si,1012
Sm,426
Sn,550
Sr,1180
Ta,456
Tb,313
Tc,30
Te,807
Th,140
Ti,886
Tl,551
Tm,268
U,209
V,1494
W,743
Xe,25
Y,512
Zn,678
Zr,397
